Workcenter,Item Number,Item Desc.,OP,TBC,Setup Hours,Labor Hours,Machine Hrs,SOQ,Projected AU,Prev. AU,Material PN,Material QTY,Material Desc.,Standard Unit Cost,Rolling 12 Months Usage (Actual Sales),Part Weight,Number of Ops,Annual Material Use,MATSUMHLP,Pieces/Hour,Seconds/Piece,Number of Setups,Annual Hours,Annual Setup Hours,Annual Run Hours,Annual Run Hours Based on Rolling 12,Total Annual Hours Rolling 12,DWGA,DWGB
53612,   451110-12,PACKING FOLLOWER  12A-312A-106,10,3,2.34,12.65,22,80,0,88,701226,0.218,"ROD,RD  1.000 C36000   BRS FC",$8.76 ,19,3,2,0,0,45,79.2,0.24,0.98,0.56,0.42,0.42,0.98,LNKA,LNKB
54152,   451110-12,PACKING FOLLOWER  12A-312A-106,11,4,0,0.02,0.02,80,0,88,701226,0.218,"ROD,RD  1.000 C36000   BRS FC",$8.76 ,19,3,2,0,0,500000,0.01,0.24,0,-0.01,0.01,0.01,0,LNKA,LNKB
54110,   452169-12,PACKING FOLLOWER  4A-232H-2464,11,4,0,0.02,0.02,90,0,0,703615,0.139,"ROD,RD  0.875 S31603   SSTL",$7.75 ,0,2,2,0,0,500000,0.01,0,0,0,0,0,0,LNKA,LNKB
53612,   452169-12,PACKING FOLLOWER  4A-232H-2464,10,3,2.34,10.93,19,90,0,0,703615,0.139,"ROD,RD  0.875 S31603   SSTL",$7.75 ,0,2,2,0,0,52,68.4,0,0,0,0,0,0,LNKA,LNKB
53612,   451685-12,PACKING FOLLOWER 24A-222XB-106,10,3,2.34,13.37,23.25,38,38,59,701237,0.576,"ROD,RD  1.375 C36000   BRS FC",$16.56 ,35,5,2,10.94,5.47,43,83.7,0.93,2.99,2.17,0.82,0.82,2.99,LNKA,LNKB
54152,   451685-12,PACKING FOLLOWER 24A-222XB-106,11,4,0,0.02,0.02,38,38,59,701237,0.576,"ROD,RD  1.375 C36000   BRS FC",$16.56 ,35,5,2,10.94,5.47,500000,0.01,0.93,0,-0.01,0.01,0.01,0,LNKA,LNKB
53628, B-009410-14,"PACKING FOLLOWER,BRS",10,3,1.84,17.42,30.3,849,4115,4539,701240,0.465,"ROD,RD  1.500 C36000   BRS FC",$4.68 ,2576,7,3,637.83,212.61,33,109.08,3.04,83.65,5.59,78.06,78.06,83.65,LNKA,LNKB
53218, B-009410-14,"PACKING FOLLOWER,BRS",5,2,0,0.02,0.02,849,4115,4539,701240,0.465,"ROD,RD  1.500 C36000   BRS FC",$4.68 ,2576,7,3,637.83,212.61,5000,0.72,3.04,0.52,0,0.52,0.52,0.52,LNKA,LNKB
53218, B-009416-7,"PACKING FOLLOWER,BRS",5,2,0,0.02,0.02,246,250,343,701240,0.807,"ROD,RD  1.500 C36000   BRS FC",$7.16 ,217,7,3,67.25,22.42,5000,0.72,0.89,0.04,-0.01,0.05,0.05,0.04,LNKA,LNKB
53612, B-009409-3,"PACKING FOLLOWER,BRS",10,3,1.64,8.8,15.3,145,0,12,701232,0.169,"ROD,RD  1.188 C36000   BRS FC",$4.54 ,2,4,2,0,0,65,55.08,0.02,0.06,0.02,0.04,0.04,0.06,LNKA,LNKB
53612, B-009403-3,"PACKING FOLLOWER,BRS",10,3,1.74,9.14,15.9,80,0,37,701225,0.191,"ROD,RD  0.938 C36000   BRS FC",$6.55 ,18,3,2,0,0,62,57.24,0.23,0.69,0.4,0.29,0.29,0.69,LNKA,LNKB
54110, B-009416-7,"PACKING FOLLOWER,BRS",11,4,0,0.02,0.02,246,250,343,701240,0.807,"ROD,RD  1.500 C36000   BRS FC",$7.16 ,217,7,3,67.25,22.42,500000,0.01,0.89,0,-0.01,0.01,0.01,0,LNKA,LNKB
54110, B-009410-14,"PACKING FOLLOWER,BRS",11,4,0,0.02,0.02,849,4115,4539,701240,0.465,"ROD,RD  1.500 C36000   BRS FC",$4.68 ,2576,7,3,637.83,212.61,500000,0.01,3.04,0.01,0,0.01,0.01,0.01,LNKA,LNKB
